economic_activity,year,output_in_aed,intermediate_consumption_in_aed,value_added_in_aed,compensation_of_employees_in_aed,gross_fixed_capital_formation_in_aed,number_of_employees
Accommodation and food service activities,2024,105000000000,63000000000,33000000000,25000000000,5400000000,340000
Activities of households as employers,2024,12000000000,0,10000000000,12000000000,0,45
"Agriculture, forestry and fishing",2024,28000000000,12000000000,13000000000,5000000000,1900000000,17000
"Arts, entertainment and recreation",2024,8000000000,6500000000,950000000,2700000000,3800000000,45000
Construction,2024,410000000000,250000000000,130000000000,64000000000,22000000000,720000
Education,2024,55000000000,20000000000,31000000000,39000000000,6000000000,210000
Financial and insurance activities,2024,310000000000,130000000000,140000000000,52000000000,17000000000,95000
Information and communication,2024,68000000000,28000000000,33000000000,21000000000,8000000000,120000
Manufacturing,2024,510000000000,300000000000,180000000000,73000000000,24000000000,610000
"Professional, scientific and technical activities",2024,83000000000,36000000000,42000000000,36000000000,9000000000,185000
